Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Abóbora,15518,QUILO,273,3,819
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Abóbora,14344,QUILO,67,3,201
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Abóbora,15789,QUILO,704,3,2112
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Abóbora,15849,QUILO,1001,3,3003
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Abóbora,15845,QUILO,505,3,1515
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,6346,GRAMA,272,4.5,1224
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,70,GRAMA,25,9.1,227.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,5195,GRAMA,373,4.5,1678.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,6834,GRAMA,43,4.5,193.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,5833,GRAMA,101,4.5,454.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,5067,GRAMA,373,4.5,1678.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,6568,GRAMA,272,4.5,1224
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,6833,GRAMA,58,4.5,261
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,6831,GRAMA,272,4.5,1224
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,6562,GRAMA,101,4.5,454.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,201,GRAMA,400,3.79,1516
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,58,GRAMA,400,9.1,3640
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,5832,GRAMA,272,4.5,1224
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Achocolatado em pó,6349,GRAMA,101,4.5,454.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,210,QUILO,2,27,54
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,183,QUILO,7,27,189
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,208,QUILO,1,27,27
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,182,QUILO,1,27,27
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,062,QUILO,25,27,675
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,133,QUILO,1,27,27
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,081,QUILO,25,27,675
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,211,QUILO,30,27,810
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,209,QUILO,5,27,135
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,207,QUILO,17,27,459
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,063,QUILO,25,27,675
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,132,QUILO,7,27,189
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,203,QUILO,15,23.5,352.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,181,QUILO,17,27,459
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Alho com casca,131,QUILO,17,27,459
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Arroz parbolizado,1004,QUILO,655,3.9,2554.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Arroz parbolizado,201,QUILO,1000,3.79,3790
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Arroz parbolizado,211,QUILO,300,2.95,885
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Arroz tipo 1,48,QUILO,144,16.77,2414.88
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Arroz tipo 1,1007,QUILO,655,3.9,2554.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Arroz tipo 1,1009,QUILO,655,3.9,2554.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Arroz tipo 1,49,QUILO,20,16.77,335.4
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Aveia em flocos,6837,GRAMA,300,9.7,2910
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Aveia em flocos,201,GRAMA,269,3.49,938.81
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Aveia em flocos,203,GRAMA,32,3.49,111.68
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Açúcar,1007,QUILO,9,89,801
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Açúcar,1004,QUILO,9,89,801
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Açúcar,201,QUILO,30,90,2700
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Açúcar,1009,QUILO,9,89,801
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Açúcar,6837,QUILO,25,88,2200
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Açúcar,49,QUILO,10,97.35,973.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Açúcar,48,QUILO,10,97.35,973.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14515,QUILO,116,2.5,290
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15864,QUILO,100,3,300
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,12396,QUILO,249,3,747
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15870,QUILO,351,2.5,877.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15427,QUILO,127,2.5,317.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15427,QUILO,155,3,465
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,12396,QUILO,291,2.5,728.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15692,QUILO,116,2.5,290
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14561,QUILO,116,2.5,290
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14561,QUILO,116,2.5,290
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,13619,QUILO,313,3,939
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14515,QUILO,100,3,300
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15858,QUILO,290,3,870
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15864,QUILO,713,2.5,1782.5
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14394,QUILO,300,3,900
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15162,QUILO,150,3,450
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14561,QUILO,116,2.5,290
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15514,QUILO,150,3,450
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15447,QUILO,232,2.5,580
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14364,QUILO,50,3,150
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15859,QUILO,102,3,306
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,12396,QUILO,249,3,747
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,15869,QUILO,140,2.5,350
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14364,QUILO,120,2.5,300
 2017,AC,MANCIO LIMA,PREF MUN DE MANCIO LIMA,NÃO,NÃO,Banana,14561,QUILO,116,2.5,290
